account_number,customer_cif,customer_branch_ifsc,account_category,account_type,account_status,account_opening_date,inoperative_status_date,credit_summation_period,debit_summation_period
21955574410087,794695104831,HDFC041754,Savings,Premium,Active,08-08-2019,,1447618.04,12629104.98
21383267247965,794695104831,HDFC041754,Savings,Premium,Active,22-06-2018,,2028057.29,12838386.28
242560291266,742395798557,KKBK061223,Salary,BSBD,Active,05-05-2022,,1318554.84,9763774.3
48953286670777,292085902906,HDFC053164,Fixed Deposit,Regular,Active,15-10-2021,,8102335.56,9719221.07
9357986825181815,538445601393,PUNB089871,Salary,BSBD,Closed,26-02-2018,,0.0,0.0
34227665050,128904137467,SBIN037912,Savings,Basic,Active,02-01-2024,,3827246.57,4739961.96
83486093989151,975567584922,BARB030617,Salary,Premium,Active,30-04-2024,,453788.69,9975309.84
951649230434,973001796990,CNRB038918,Salary,Regular,Active,06-07-2024,,5348587.49,4424226.74
5914859512113,973001796990,CNRB038918,Savings,BSBD,Active,19-11-2024,,271179.43,13280961.55
9299838634927,199943049672,UTIB020594,Recurring Deposit,Basic,Active,15-02-2023,,6137457.48,5901878.86
9235408796159,199943049672,UTIB020594,Savings,Regular,Active,11-04-2020,,292531.78,1015897.03
31160491711664,933786795023,HDFC045599,Salary,Regular,Active,27-03-2023,,2015616.14,555405.67
56489275152630,933786795023,HDFC045599,Savings,Premium,Active,11-06-2019,,11041877.58,11344764.65
936002118571,524834551942,ICIC080542,Savings,Premium,Active,24-04-2022,,1151665.87,7459897.09
98399881134,898734675667,CNRB018710,Savings,Basic,Active,03-04-2024,,275567.87,8099340.97
9164181889378,493049218308,UTIB075235,Savings,Regular,Active,26-10-2019,,676553.71,6198880.76
10579615508,325099757838,SBIN019785,Savings,Premium,Active,16-04-2021,,1345881.13,1571209.19
57309344665,618610719387,SBIN025990,Salary,BSBD,Active,30-06-2022,,5050680.41,4570496.49
369734407593,924750859951,IOBA026768,Current,Corporate,Active,20-11-2019,,4345332.3,4174368.49
7823107521141,924750859951,IOBA026768,Current,Regular,Active,04-03-2016,,6735873.6,8868338.65
60762683067,420142077431,KKBK019356,Recurring Deposit,Regular,Active,01-04-2023,,937789.57,7698561.51
27247338186553,420142077431,KKBK019356,Savings,Regular,Active,08-02-2021,,12377920.7,12231340.82
1086506198253,580030035342,CNRB049587,Savings,BSBD,Active,12-12-2016,,1260966.26,2550792.52
6684460792172,580030035342,CNRB049587,Savings,Basic,Active,14-04-2024,,6168983.45,6257036.64
39958152903283,342253202781,HDFC041951,Savings,BSBD,Active,22-04-2020,,1266528.41,21953262.62
66402238694874,342253202781,HDFC041951,Fixed Deposit,Basic,Active,03-11-2020,,9143758.65,8763128.14
69273047994918,118212024877,HDFC021973,Fixed Deposit,BSBD,Active,07-07-2024,,472240.21,461703.33
57652807119544,118212024877,HDFC021973,Current,BSBD,Active,21-02-2024,,7198766.69,6924030.49
27600947373,773350518711,SBIN055441,Salary,Regular,Active,01-09-2022,,1635562.11,4237842.65
8716100705114496,472907235387,PUNB012217,Fixed Deposit,Corporate,Active,31-01-2018,,5395674.14,7166005.87
5417153708732455,472907235387,PUNB012217,Current,Corporate,Active,22-07-2017,,13679688.2,5586135.94
239999619897,882985460655,KKBK066176,Savings,BSBD,Active,21-06-2020,,517714.47,1894226.74
9281769540817,698870655646,UTIB062255,Savings,Premium,Active,19-12-2020,,9102283.8,8905560.28
9185248508606,698870655646,UTIB062255,Salary,Basic,Active,17-08-2021,,4463319.78,4653299.2
68984937650149,175178937402,HDFC049384,Current,Basic,Active,23-07-2023,,5373995.45,6257391.21
471043264524,239397949975,KKBK050603,Savings,Premium,Active,13-06-2021,,8376221.47,8509000.08
62465765292,239397949975,KKBK050603,Recurring Deposit,Basic,Active,15-12-2019,,922620.76,1471311.14
9188888688749,962253449747,UTIB079160,Savings,Basic,Active,22-09-2021,,592524.3,1583491.67
88285580211254,349635520956,KKBK027264,Current,Premium,Dormant,20-12-2024,26-12-2024,142185.73,6512.89
