customer_cif,customer_name,customer_type,customer_entity_type,date_of_birth,father_spouse_name,nationality,citizenship,residency,tax_residency,pan,aadhaar,aadhaar_masked,identification_doc_no,mobile_number,email_id,address_individual,state,city,address_lat,address_lon,occupation_industry,annual_income,professional_experience_years,source_of_funds,_nri_country,customer_risk_score,pep_flag,hni_flag,minor_flag,non_face_to_face_flag,vkyc_flag,cif_creation_date,kyc_update_date,date_of_incorporation,place_of_incorporation,beneficial_owner_types,passive_nfe,address_registered_office,address_place_of_business,address_beneficial_owners,entity_identification_doc_no,cif_beneficial_owners,name_beneficial_owners
794695104831,Pooja Pillai,Individual,Individual,20-02-1995,Suresh Rao,Indian,Indian,Resident,India,KUCPG2390H,687961984970,XXXX-XXXX-6573,AADHAAR-5636XXXX8617,8393203118,pooja.pillai230@gmail.com,"226, Ring Road, Patna, Bihar - 988225",Bihar,Patna,25.590038,85.190033,Salaried - Government,156285,11,Family Support,,Low,N,N,N,Y,N,23-03-2018,10-02-2023,,,,,,,,,,
742395798557,Mamta Nair,Individual,Individual,12-05-1962,Harsh Gupta,Indian,Indian,Resident,India,UQGPD7668A,726584209946,XXXX-XXXX-7531,AADHAAR-6946XXXX7988,8226159113,mamta.nair500@outlook.com,"494, Gandhi Nagar, Siliguri, West Bengal - 807359",West Bengal,Siliguri,20.137942,78.909702,Lawyer,1101242,2,Agriculture Income,,High,N,N,N,Y,Y,09-02-2019,20-03-2022,,,,,,,,,,
292085902906,Premier Associates,Non-Individual,Partnership,,,Indian,,Resident,India,ELVAB7934A,,,,7680052329,premier502@rediffmail.com,,Punjab,Chandigarh,30.781568,76.754433,Financial Services,321720798,,Donations,,Low,N,N,N,N,N,05-02-2017,26-03-2022,20-07-2015,"Chandigarh, Punjab",Senior Managing Official,N,"98 Corporate Park, Chandigarh, Punjab - 300621","Plot 38, Industrial Area, Chandigarh, Punjab","557, Residential Colony, Chandigarh, Punjab",U47177QP2012PTC736192,109501270170,Shruti Das
538445601393,Vandana Verma,Individual,Individual,03-05-1998,Amit Das,Indian,Indian,Resident,India,XEWPY1583Z,972438256265,XXXX-XXXX-5719,AADHAAR-3267XXXX0651,6168746681,vandana.verma833@outlook.com,"294, Nehru Place, Rourkela, Odisha - 378546",Odisha,Rourkela,17.831364,79.321682,Self-Employed - Retail,659917,18,Salary,,Medium,N,N,N,Y,Y,20-05-2015,03-03-2025,,,,,,,,,,
128904137467,Pooja Agarwal,Individual,Individual,03-04-1983,Suresh Bhat,Indian,Indian,Resident,India,XUYPC7817N,487902217417,XXXX-XXXX-3773,AADHAAR-6612XXXX5312,6581926248,pooja.agarwal596@hotmail.com,"77, NH Highway, Muzaffarpur, Bihar - 118663",Bihar,Muzaffarpur,22.938138,80.886647,Student,1729542,27,Agriculture Income,,High,N,N,N,Y,Y,13-05-2022,07-12-2023,,,,,,,,,,
975567584922,Sapna Malhotra,Individual,Individual,24-07-1972,Tushar Kapoor,Indian,Indian,Resident,Other,QZOPZ1484M,220511886469,XXXX-XXXX-1423,AADHAAR-3167XXXX0719,7186609172,sapna.malhotra402@hotmail.com,"159, MG Road, Pune, Maharashtra - 681620",Maharashtra,Pune,18.536227,73.81378,Salaried - Banking,411956,12,Pension,,Low,N,N,N,Y,N,27-12-2022,20-05-2023,,,,,,,,,,
973001796990,Vivek Chauhan,Individual,Individual,24-04-1988,Rajesh Malhotra,Indian,Indian,Resident,India,QTZPG9351I,771950432774,XXXX-XXXX-8677,AADHAAR-4374XXXX4685,8497136355,vivek.chauhan934@rediffmail.com,"161, MG Road, Bengaluru, Karnataka - 209771",Karnataka,Bengaluru,13.013885,77.624753,Agriculture,181212,18,Family Support,,Low,N,N,N,N,Y,06-12-2023,08-10-2024,,,,,,,,,,
199943049672,Priya Bhat,Individual,Individual,13-02-1993,Ravi Patel,Indian,Indian,Resident,India,HHEPZ8103X,829628325129,XXXX-XXXX-8272,AADHAAR-7873XXXX8242,6099718135,priya.bhat84@yahoo.co.in,"97, MG Road, Howrah, West Bengal - 337732",West Bengal,Howrah,22.129867,74.200919,Freelancer,298894,19,Pension,,Low,N,N,N,N,N,11-12-2018,22-08-2024,,,,,,,,,,
933786795023,Komal Tiwari,Individual,Individual,01-08-1972,Rahul Singh,Indian,Indian,Resident,India,HXZPG9741N,949106977625,XXXX-XXXX-3813,AADHAAR-3425XXXX1919,7508634994,komal.tiwari725@outlook.com,"93, Ring Road, Karimnagar, Telangana - 762901",Telangana,Karimnagar,18.414246,76.792074,Lawyer,2012367,33,Business Income,,Medium,N,N,N,N,N,23-01-2019,04-02-2020,,,,,,,,,,
524834551942,Rohan Chatterjee,Individual,Individual,15-04-1966,Ankit Agarwal,Indian,Indian,Resident,India,KVPPI9968X,693492861115,XXXX-XXXX-5619,AADHAAR-9717XXXX1771,6824785395,rohan.chatterjee567@yahoo.co.in,"111, Station Road, Kota, Rajasthan - 360925",Rajasthan,Kota,24.163333,80.5832,Self-Employed - Professional,419786,21,Pension,,Low,N,N,N,Y,N,23-02-2022,19-05-2022,,,,,,,,,,
