wallet_id,customer_cif,wallet_kyc_category,wallet_status,wallet_opening_date,escrow_account_linked,per_txn_limit,daily_txn_limit,monthly_txn_limit,annual_txn_limit,max_balance_limit,linked_bank_account
WLT281550028471,533494326669,Minimum KYC,Active,18-02-2021,ESC1904104574990,10000,10000,10000,120000,10000,35295615297
WLT843311987943,681295154814,Minimum KYC,Active,29-09-2024,ESC9165622602328,10000,10000,10000,120000,10000,321235834307
WLT721654465557,118112874655,Full KYC,Active,22-10-2023,ESC9582283045948,200000,200000,200000,2400000,200000,11547383492
WLT812503350143,332344952809,Full KYC,Active,22-12-2024,ESC8462585194264,200000,200000,200000,2400000,200000,3724447235330809
WLT890267854181,307681716620,Full KYC,Active,31-03-2021,ESC3474223923312,200000,200000,200000,2400000,200000,5191373918469034
WLT743616353124,782062923938,Full KYC,Active,01-03-2022,ESC9092950625525,200000,200000,200000,2400000,200000,220697401074
WLT853859748476,207001575658,Minimum KYC,Active,26-12-2024,ESC7520646127141,10000,10000,10000,120000,10000,718052893885
WLT265522009669,612954343655,Minimum KYC,Active,04-10-2021,ESC4557120273349,10000,10000,10000,120000,10000,1072943212291
WLT291733330282,910140549123,Minimum KYC,Active,08-12-2023,ESC9376911791054,10000,10000,10000,120000,10000,34725800033
WLT726433111889,376605776405,Minimum KYC,Active,06-02-2022,ESC1962782341340,10000,10000,10000,120000,10000,14298729336301
WLT564829819794,964640752977,Full KYC,Active,24-02-2024,ESC5729507652258,200000,200000,200000,2400000,200000,99032315510772
WLT446214338972,286757508076,Minimum KYC,Active,25-05-2020,ESC8861976305648,10000,10000,10000,120000,10000,58740079642534
WLT363165276035,951966960713,Full KYC,Active,11-07-2023,ESC7445683797064,200000,200000,200000,2400000,200000,5838806392938207
WLT457220854505,700154693297,Minimum KYC,Suspended,22-10-2021,ESC2551015641261,10000,10000,10000,120000,10000,93991588848928
WLT712218302610,441442768643,Full KYC,Active,19-06-2021,ESC9120615602309,200000,200000,200000,2400000,200000,175537483311
WLT528695103894,298907710567,Full KYC,Active,13-03-2021,ESC7949285871047,200000,200000,200000,2400000,200000,96003931795
WLT564517382686,497662161560,Full KYC,Closed,15-11-2022,ESC6493551986287,200000,200000,200000,2400000,200000,98405287305708
WLT919375735193,178623787521,Full KYC,Active,28-06-2019,ESC5243687222977,200000,200000,200000,2400000,200000,546694322437
WLT463632262661,772093299402,Full KYC,Active,04-10-2022,ESC1079738647518,200000,200000,200000,2400000,200000,7055792925594694
WLT992615762502,177332003554,Minimum KYC,Active,20-05-2021,ESC8073571886577,10000,10000,10000,120000,10000,17848745380
WLT926563525263,917403577780,Full KYC,Active,20-11-2023,ESC7402592572744,200000,200000,200000,2400000,200000,99167031975301
WLT306756962063,243055913002,Full KYC,Active,19-05-2023,ESC2286657387530,200000,200000,200000,2400000,200000,9214221873666
WLT348138373727,577031397657,Minimum KYC,Active,29-11-2022,ESC1764419768123,10000,10000,10000,120000,10000,81062031386
WLT551052212443,331583885233,Full KYC,Active,22-08-2024,ESC6642616855713,200000,200000,200000,2400000,200000,913359980463
WLT682211993420,780032351343,Full KYC,Active,21-01-2024,ESC9807311427803,200000,200000,200000,2400000,200000,99898180026
WLT635048987284,776707480003,Minimum KYC,Active,17-09-2021,ESC4556869959430,10000,10000,10000,120000,10000,88861198132
WLT487157152065,394095517741,Minimum KYC,Active,08-07-2020,ESC1429284695003,10000,10000,10000,120000,10000,2883938023335323
WLT887058619744,903856791884,Full KYC,Active,25-10-2020,ESC8832252828818,200000,200000,200000,2400000,200000,276328660995
WLT110293032358,769279404948,Minimum KYC,Active,31-01-2024,ESC1951659720524,10000,10000,10000,120000,10000,9183959829086
WLT336082780283,882322390063,Full KYC,Active,05-12-2023,ESC2380938385087,200000,200000,200000,2400000,200000,71172734962
WLT406195313509,260632469565,Full KYC,Active,15-12-2020,ESC5529074647840,200000,200000,200000,2400000,200000,362560458897
WLT513596527602,348448102259,Full KYC,Active,12-02-2023,ESC1377570367680,200000,200000,200000,2400000,200000,63478278675
WLT371799565243,809589624715,Full KYC,Suspended,24-04-2021,ESC5375412077396,200000,200000,200000,2400000,200000,6793430316750236
WLT683651776407,317827708370,Minimum KYC,Suspended,11-07-2024,ESC4939204450985,10000,10000,10000,120000,10000,38101664516
WLT473935859054,981232981886,Minimum KYC,Active,31-07-2020,ESC2219410077951,10000,10000,10000,120000,10000,41222202015
WLT672926345768,344017303540,Full KYC,Active,01-10-2024,ESC1166749400076,200000,200000,200000,2400000,200000,2552484134545
WLT893207409743,304721092968,Minimum KYC,Active,24-02-2023,ESC2352500004512,10000,10000,10000,120000,10000,94429588793619
WLT275177724404,275088538906,Full KYC,Active,30-05-2022,ESC5960056021362,200000,200000,200000,2400000,200000,844565814150
WLT468819166930,521795655303,Minimum KYC,Active,24-06-2022,ESC7407268222119,10000,10000,10000,120000,10000,480327699809
WLT700661000934,863201356128,Full KYC,Active,03-04-2022,ESC3133531573857,200000,200000,200000,2400000,200000,314112554187
WLT751908154862,196310938570,Full KYC,Active,09-02-2023,ESC7552887551981,200000,200000,200000,2400000,200000,930176013443
WLT106658603287,495405079763,Full KYC,Active,25-11-2023,ESC1957429872490,200000,200000,200000,2400000,200000,562360004003
WLT447634074718,714991207010,Full KYC,Active,03-12-2023,ESC6688987805049,200000,200000,200000,2400000,200000,9240734836714
WLT551196604642,736401085056,Full KYC,Closed,27-02-2024,ESC3734395698057,200000,200000,200000,2400000,200000,60286536910
WLT554580476911,550132956352,Full KYC,Active,11-03-2021,ESC9785679391624,200000,200000,200000,2400000,200000,134536131225
WLT953157451929,430085750522,Full KYC,Active,16-03-2017,ESC5339916169854,200000,200000,200000,2400000,200000,72073637444
WLT778223480159,379039425076,Full KYC,Active,18-06-2022,ESC3934877968733,200000,200000,200000,2400000,200000,9237252205311
WLT919038047615,619470034239,Full KYC,Active,28-11-2024,ESC2256258132931,200000,200000,200000,2400000,200000,7842260119864
WLT487561777405,267143696280,Full KYC,Active,02-08-2019,ESC3399924830274,200000,200000,200000,2400000,200000,811207624997
WLT807384739474,239460483818,Full KYC,Active,07-07-2021,ESC3618998810793,200000,200000,200000,2400000,200000,717972288675
WLT142337504696,861326451460,Minimum KYC,Closed,13-06-2024,ESC9216175166012,10000,10000,10000,120000,10000,37189613107944
WLT967149670683,397109192186,Full KYC,Active,09-01-2025,ESC4502969941687,200000,200000,200000,2400000,200000,96706579775056
WLT405399089727,934579159904,Minimum KYC,Active,14-02-2022,ESC5163208643357,10000,10000,10000,120000,10000,28544008199952
